HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00101,5,Q9Y6H3 Q1MSJ5 Q9H967 Q96CT2 Q8NFY9 Q9H2C0 Q16653,ATP23 CSPP1 WDR76 KLHL29 KBTBD8 GAN MOG
HuMAP2_00102,4,Q00341 Q14320 Q92900 Q9Y5A9,HDLBP FAM50A UPF1 YTHDF2
HuMAP2_00103,5,Q8IXL7 Q8IXQ5 Q92564 Q8WZ60 P02753,MSRB3 KLHL7 DCUN1D4 KLHL6 RBP4
HuMAP2_00104,4,Q15020 Q9Y4Y9 O43172 O43395 P54105 O43290 O95777 P14678 P08579 Q9Y333 P62316 P62312 O60828 O94906 Q9P0M2 Q9Y4Z0 Q8WWY3 O43447 A6NC98 O95400 P62304 P62308 P62306 O15116 O75223 Q9H6E5 P62310 Q96DI7 P83876 Q9BUQ8 Q53GS9,SART3 LSM5 PRPF4 PRPF3 CLNS1A SART1 LSM8 SNRPB SNRPB2 LSM2 SNRPD2 LSM6 PQBP1 PRPF6 AKAP7 LSM4 PRPF31 PPIH CCDC88B CD2BP2 SNRPE SNRPG SNRPF LSM1 GGCT TUT1 LSM3 SNRNP40 TXNL4A DDX23 USP39
HuMAP2_00105,5,Q6PEY2 Q9BQE3 O60884 Q96IX5 Q92542 Q14249 Q01650 P68363 P31689,TUBA3E TUBA1C DNAJA2 ATP5MD NCSTN ENDOG SLC7A5 TUBA1B DNAJA1
HuMAP2_00106,5,Q5T1C6 Q5T2R2 Q86YH6 Q9H845 Q9GZY4 P0CG29,THEM4 PDSS1 PDSS2 ACAD9 COA1 GSTT2
HuMAP2_00107,4,P01567 P01562 P05014 P01563 P01569 P19429,IFNA7 IFNA1 IFNA4 IFNA2 IFNA5 TNNI3
HuMAP2_00108,2,Q5HY92 O43813,FIGN LANCL1
HuMAP2_00109,5,Q8WUB8 O75596 O60930,PHF10 CLEC3A RNASEH1
HuMAP2_00110,4,Q13563 Q9NZM6 Q96BQ1,PKD2 PKD2L2 FAM3D
HuMAP2_00111,2,O94760 O95865,DDAH1 DDAH2
HuMAP2_00112,5,Q99549 Q5VWN6 Q96LX8 Q9UK61,MPHOSPH8 TASOR2 ZNF597 TASOR
HuMAP2_00113,5,Q9UNP9 Q9HA77 O94811 Q9BVS5,PPIE CARS2 TPPP TRMT61B
HuMAP2_00114,5,Q9Y6B2 Q7Z4W2 P22304 Q9NRG7 O94952 Q6P9A2,EID1 LYZL2 IDS SDR39U1 FBXO21 GALNT18
HuMAP2_00115,5,Q5VY09 P57059 Q6NUN9 Q00005 Q9Y2T4 Q9BXL8 Q9H0K1,IER5 SIK1 ZNF746 PPP2R2B PPP2R2C CDCA4 SIK2
HuMAP2_00116,2,P20340 Q9NRW1,RAB6A RAB6B
HuMAP2_00117,4,O75385 Q9Y3C0 Q9UM21 O75143 ,ULK1 WASHC3 MGAT4A ATG13 WASH6P
HuMAP2_00118,5,Q9Y6G9 Q8NBJ7 Q8WZ42,DYNC1LI1 SUMF2 TTN
HuMAP2_00119,2,P15374 P52565,UCHL3 ARHGDIA
HuMAP2_00120,4,Q7Z7F0 Q9NQZ5 O95081,KHDC4 STARD7 AGFG2
HuMAP2_00121,5,P49354 Q9Y3R0 O95164 P49356,FNTA GRIP1 UBL3 FNTB
HuMAP2_00122,4,P30044 P35270 P49773,PRDX5 SPR HINT1
HuMAP2_00123,5,Q6ZT07 Q8N4L2 P50416 Q66K14,TBC1D9 PIP4P2 CPT1A TBC1D9B
HuMAP2_00124,5,Q03701 Q9Y3T9 Q14690 Q8TDD1,CEBPZ NOC2L PDCD11 DDX54
HuMAP2_00125,5,Q9P021 Q9NX00 Q92995 Q8NBX0,CRIPT TMEM160 USP13 SCCPDH
HuMAP2_00126,2,P07108 P60174,DBI TPI1
HuMAP2_00127,5,Q7Z401 Q9H4A3 Q8TCB7 Q13586,DENND4A WNK1 METTL6 STIM1
HuMAP2_00128,4,Q8NBB4 Q8TBC5 Q96N95,ZSCAN1 ZSCAN18 ZNF396
HuMAP2_00129,4,Q15032 Q9UM19 Q86WH2 Q99732,R3HDM1 HPCAL4 RASSF3 LITAF
HuMAP2_00130,3,Q9UQ03 Q92828,CORO2B CORO2A
HuMAP2_00131,3,P62273 P62277,RPS29 RPS13
HuMAP2_00132,4,Q5J8M3 Q9NPA0 O43402 Q8N4V1 Q5UCC4 Q8N766 Q9Y3B6 Q9P0I2 Q15006 Q9BV81,EMC4 EMC7 EMC8 MMGT1 EMC10 EMC1 EMC9 EMC3 EMC2 EMC6
HuMAP2_00133,5,Q9NVH1 Q9NVT9,DNAJC11 ARMC1
HuMAP2_00134,2,Q9UDX3 O76054 Q9UDX4,SEC14L4 SEC14L2 SEC14L3
