ID,cut_1193.94,cut_1145.7,cut_1085.4,cut_1025.1,cut_964.8,cut_904.5,cut_844.2,cut_783.9,cut_723.6,cut_663.3,cut_603,cut_542.7,cut_482.4,cut_422.1,cut_361.8,cut_301.5,cut_241.2,cut_180.9,cut_120.6,dendrogram_order
ENOG411DR38,1,1,3,47,52,58,63,67,72,273,302,327,358,400,437,481,528,581,632,387.0
ENOG411DUEF,1,1,3,72,84,210,238,261,294,328,363,394,431,475,516,563,612,667,723,388.0
ENOG411DQDU,1,1,3,72,84,91,97,104,114,121,135,143,157,181,198,220,244,283,319,389.0
ENOG411DR3G,1,1,3,72,84,91,97,104,114,121,135,496,536,586,635,686,740,795,851,390.0
ENOG411DW34,1,1,3,72,84,91,97,177,200,224,250,274,294,329,361,400,440,489,536,391.0
ENOG411DX3S,1,1,3,72,84,91,97,177,200,224,250,528,574,632,687,742,799,854,911,392.0
ENOG411E3EP,1,1,3,4,5,5,5,6,6,7,7,7,7,8,38,44,53,72,87,393.0
ENOG411E45F,1,1,3,4,5,5,5,6,6,7,7,7,7,8,38,44,53,72,87,394.0
ENOG411E3TD,1,1,3,4,5,5,5,6,6,7,7,7,7,8,9,11,38,53,62,395.0
ENOG411EMAF,1,1,3,4,5,5,5,6,6,7,7,7,7,8,9,11,38,53,855,396.0
ENOG411DTWG,1,1,3,4,5,5,5,6,6,7,7,7,7,8,9,11,14,22,26,397.0
ENOG411E3B3,1,1,3,4,5,5,5,6,6,7,7,7,7,8,9,11,14,35,42,398.0
ENOG411DRBH,1,1,3,39,43,48,159,173,196,218,244,267,287,322,354,393,433,482,529,399.0
ENOG411DRV3,1,1,3,39,43,48,52,56,59,61,67,70,74,87,93,104,119,146,171,400.0
ENOG411DTI9,1,1,3,39,43,48,52,56,59,61,67,70,74,604,655,707,763,818,875,401.0
ENOG411DQ65,1,1,3,26,222,257,294,325,365,403,445,490,529,579,628,679,733,788,844,402.0
ENOG411DTX8,1,1,3,26,29,300,359,417,477,537,597,658,718,778,839,899,959,1020,1080,403.0
ENOG411DVA1,1,1,3,26,29,261,300,335,381,431,481,532,579,639,694,750,807,864,921,404.0
ENOG411DQD6,1,1,3,26,29,34,235,257,288,322,356,387,423,467,506,553,602,657,713,405.0
ENOG411DU9U,1,1,3,26,29,34,235,257,288,322,356,443,482,529,575,626,680,735,791,406.0
ENOG411DQJJ,1,1,3,26,29,34,37,88,95,102,114,118,130,151,160,178,199,235,269,407.0
ENOG411DR9R,1,1,3,26,29,34,37,88,95,102,418,461,500,549,596,647,701,756,812,408.0
ENOG411DSI3,1,1,3,26,29,34,37,41,41,79,88,92,97,114,121,135,150,182,211,409.0
ENOG411DRI9,1,1,3,26,29,34,37,41,41,79,88,92,158,182,199,221,245,284,320,410.0
ENOG411DPX6,1,1,3,26,29,34,37,41,41,43,47,49,50,58,61,68,80,101,121,411.0
ENOG411EMRH,1,1,3,26,29,34,37,41,41,43,47,500,542,594,645,697,752,807,864,412.0
ENOG411DQX2,1,1,4,142,172,184,206,224,253,285,315,344,376,418,455,500,547,600,652,413.0
ENOG411DSRM,1,1,4,142,172,184,206,362,419,476,532,590,648,708,767,827,886,947,1007,414.0
ENOG411DXFV,1,1,4,49,229,270,313,357,413,470,526,581,639,699,758,818,877,938,998,415.0
ENOG411DVWH,1,1,4,49,238,285,338,386,445,503,563,622,682,742,803,863,923,984,1044,416.0
ENOG411DZ5B,1,1,4,49,234,279,329,377,435,493,551,609,668,728,788,848,908,969,1029,417.0
ENOG411DRYS,1,1,4,49,154,165,185,201,227,257,284,309,336,373,410,452,497,548,598,418.0
ENOG411DZHF,1,1,4,49,154,165,185,201,227,314,346,377,413,457,495,542,591,646,702,419.0
ENOG411EM7W,1,1,4,49,154,165,185,201,227,314,346,377,670,730,790,850,910,971,1031,420.0
ENOG411DRN1,1,1,4,49,212,242,275,304,342,378,417,460,499,548,595,646,700,755,811,421.0
ENOG411DRSK,1,1,4,49,177,191,215,234,264,297,328,358,393,436,473,518,566,620,674,422.0
ENOG411DTWN,1,1,4,49,185,203,229,251,282,316,350,381,417,461,500,547,596,651,707,423.0
ENOG411DWJQ,1,1,4,49,138,146,164,180,203,227,253,277,298,333,365,405,445,494,542,424.0
ENOG411DURN,1,1,4,49,54,238,270,299,336,372,410,449,488,535,581,632,686,741,797,425.0
ENOG411DW6Z,1,1,4,49,54,303,363,424,484,544,604,665,725,785,846,906,966,1027,1087,426.0
