SDHB	SDHA	0.90991
SLC25A11	VDAC2	0.908604
ACTR2	ACTR3	0.908541
PSMD13	PSMD8	0.906702
LDHB	HIBADH	0.906579
MCM6	MCM4	0.906475
SNX17	POLDIP2	0.90584
FERMT3	TXNDC5	0.904811
PML	DLAT	0.904544
ANP32A	ZNF428	0.904409
PSMA2	PSMB6	0.904296
RPRD1B	ARFGAP2	0.903616
RHOA	CDC42	0.902714
RPL13A	RPL32	0.902364
NDUFA4	VDAC2	0.902072
RPL19	RPL32	0.902047
TAP1	SRPRB	0.90178
SUCLG1	SUCLG2	0.901583
EXOSC2	EXOSC6	0.901563
ARPC3	ACTR3	0.901558
EIF3M	EIF3B	0.901554
CD2AP	SH3KBP1	0.901541
EXOSC8	EXOSC7	0.901523
ACTR2	ARPC4	0.901522
POLR2B	POLR2C	0.901519
NCAPG	SMC2	0.901517
MCM7	MCM2	0.901512
EIF3C	EIF3B	0.901499
NDUFS7	NDUFA9	0.901495
ACTR3	ARPC4	0.901493
ARPC5	ARPC2	0.901482
CAPZB	CAPZA1	0.901481
EXOSC6	EXOSC7	0.901466
EIF3C	EIF3F	0.901465
MCM3	MCM2	0.901462
RBBP4	HDAC2	0.901457
NELFCD	NELFB	0.901456
EIF3L	EIF3A	0.901436
EXOSC9	EXOSC7	0.901417
MCM3	MCM6	0.901385
BCLAF1	THRAP3	0.899811
PSMB5	PSMB8	0.899233
SUCLG2	GNS	0.899072
MYO1F	CTNNBL1	0.899008
ARHGDIB	SCRN2	0.897791
SMAP	GPALPP1	0.896245
PSMD1	FLII	0.89519
YWHAH	YWHAG	0.894423
NUP133	NUP160	0.894341
PSMB7	PSMB3	0.894286
MAN2B1	LAP3	0.89291
APOA1BP	HADH	0.892617
DDX17	RBM39	0.891499
PSMB7	PSMA4	0.891478
RPL34	RPL10A	0.890619
VDAC2	SLC25A3	0.889976
PTPRCAP	BAX	0.889514
ARG1	TGM1	0.889408
PAFAH1B1	DARS2	0.886957
SLC25A11	ATP5J2	0.886534
EBNA1BP2	RPL7	0.886454
MDH1	ECI1	0.885113
VPS26A	IFI35	0.885015
ACSF3	CHMP4B	0.88479
USP5	NRD1	0.882398
SDCBP	C9orf64	0.881356
DIAPH1	COPA	0.880618
RANGAP1	LRPPRC	0.877253
HSPE1	CHORDC1	0.876043
HK2	ALDH9A1	0.875601
UBE2K	STXBP2	0.875414
PRKCB	NDRG1	0.873998
TXNL1	GALM	0.8732
NSF	STXBP3	0.872546
FLII	PSMC1	0.87243
TSSC4	PRPF8	0.872052
PSMB1	PSMB2	0.871487
PHB	NNT	0.871286
ANXA5	GSTP1	0.869238
NDUFA4	SLC25A3	0.868022
YWHAH	CDC37	0.867653
COPE	COPG2	0.867474
HNRNPUL1	USP7	0.867192
RPRD1B	STK39	0.865985
MTIF2	CWC27	0.865782
DIAPH1	COPB2	0.8654
SRRM1	RBM25	0.865012
GOT2	GSTO1	0.86453
NFKB2	CCT5	0.864172
USP47	COPS3	0.863837
PPM1G	TSN	0.863797
WDR1	DNPH1	0.862435
SRP68	SRP72	0.861691
KIAA0196	KIAA1033	0.86166
SEC63	FAF2	0.860314
